index,Ag,Au,Pd,Pt,Rh,Composition,Similarity_to_Resistance
240,8.64,41.07,36.62,7.31,6.36,Ag8.64Au41.07Pd36.62Pt7.31Rh6.36,0.39346156
241,44.81,10.07,8.85,16.5,19.77,Ag44.81Au10.07Pd8.85Pt16.50Rh19.77,0.41879028
242,43.28,11.29,10.37,16.63,18.43,Ag43.28Au11.29Pd10.37Pt16.63Rh18.43,0.41771048
243,40.19,12.29,11.75,17.21,18.56,Ag40.19Au12.29Pd11.75Pt17.21Rh18.56,0.41992566
244,37.44,14.11,13.54,17.14,17.77,Ag37.44Au14.11Pd13.54Pt17.14Rh17.77,0.41970798
245,35.0,15.4,14.79,17.05,17.76,Ag35.00Au15.40Pd14.79Pt17.05Rh17.76,0.42041853
246,32.56,17.49,16.3,17.26,16.38,Ag32.56Au17.49Pd16.30Pt17.26Rh16.38,0.419442
247,30.87,18.4,18.69,16.62,15.42,Ag30.87Au18.40Pd18.69Pt16.62Rh15.42,0.41760838
248,28.27,20.31,19.69,16.59,15.13,Ag28.27Au20.31Pd19.69Pt16.59Rh15.13,0.41784343
249,26.29,22.11,21.76,16.27,13.58,Ag26.29Au22.11Pd21.76Pt16.27Rh13.58,0.41550362
250,24.08,23.58,23.75,15.53,13.06,Ag24.08Au23.58Pd23.75Pt15.53Rh13.06,0.41414374
251,21.54,26.11,25.24,15.02,12.09,Ag21.54Au26.11Pd25.24Pt15.02Rh12.09,0.41242486
252,20.04,27.64,26.35,14.59,11.37,Ag20.04Au27.64Pd26.35Pt14.59Rh11.37,0.41095507
253,18.3,29.35,27.79,13.55,11.01,Ag18.30Au29.35Pd27.79Pt13.55Rh11.01,0.4091647
254,16.74,31.09,29.79,13.1,9.29,Ag16.74Au31.09Pd29.79Pt13.10Rh9.29,0.40600142
255,15.02,32.62,31.48,12.27,8.61,Ag15.02Au32.62Pd31.48Pt12.27Rh8.61,0.4039069
256,13.17,34.88,31.95,11.63,8.37,Ag13.17Au34.88Pd31.95Pt11.63Rh8.37,0.40280473
257,11.85,36.68,33.55,10.9,7.02,Ag11.85Au36.68Pd33.55Pt10.90Rh7.02,0.39968964
258,11.35,37.17,35.49,9.56,6.42,Ag11.35Au37.17Pd35.49Pt9.56Rh6.42,0.39674336
259,9.81,39.07,36.46,8.93,5.74,Ag9.81Au39.07Pd36.46Pt8.93Rh5.74,0.39481872
260,44.99,9.91,9.13,17.42,18.54,Ag44.99Au9.91Pd9.13Pt17.42Rh18.54,0.4182065
261,43.08,10.95,10.91,17.38,17.68,Ag43.08Au10.95Pd10.91Pt17.38Rh17.68,0.41773313
262,39.79,11.99,12.22,17.9,18.11,Ag39.79Au11.99Pd12.22Pt17.90Rh18.11,0.4203558
263,37.39,13.61,14.05,18.13,16.82,Ag37.39Au13.61Pd14.05Pt18.13Rh16.82,0.41966718
264,35.32,14.35,15.55,18.31,16.47,Ag35.32Au14.35Pd15.55Pt18.31Rh16.47,0.42010236
265,33.57,15.87,16.81,17.91,15.85,Ag33.57Au15.87Pd16.81Pt17.91Rh15.85,0.4192022
266,30.56,17.48,19.02,18.11,14.83,Ag30.56Au17.48Pd19.02Pt18.11Rh14.83,0.41882712
267,28.12,19.5,20.47,17.62,14.29,Ag28.12Au19.50Pd20.47Pt17.62Rh14.29,0.4179947
268,25.72,21.57,22.54,17.0,13.17,Ag25.72Au21.57Pd22.54Pt17.00Rh13.17,0.41599536
269,23.58,23.19,24.0,16.38,12.85,Ag23.58Au23.19Pd24.00Pt16.38Rh12.85,0.4150955
270,21.32,24.92,26.06,15.95,11.76,Ag21.32Au24.92Pd26.06Pt15.95Rh11.76,0.41320723
271,19.84,26.87,27.97,15.14,10.17,Ag19.84Au26.87Pd27.97Pt15.14Rh10.17,0.40982634
272,17.17,28.1,29.99,14.55,10.2,Ag17.17Au28.10Pd29.99Pt14.55Rh10.20,0.40936428
273,15.29,29.87,31.57,14.24,9.04,Ag15.29Au29.87Pd31.57Pt14.24Rh9.04,0.407304
274,14.58,31.87,32.56,13.35,7.64,Ag14.58Au31.87Pd32.56Pt13.35Rh7.64,0.40391558
275,13.1,33.27,33.51,12.94,7.18,Ag13.10Au33.27Pd33.51Pt12.94Rh7.18,0.4027282
276,12.36,34.93,33.96,11.66,7.08,Ag12.36Au34.93Pd33.96Pt11.66Rh7.08,0.40080371
277,10.54,36.21,36.75,10.31,6.19,Ag10.54Au36.21Pd36.75Pt10.31Rh6.19,0.39744315
278,10.25,37.13,37.13,9.84,5.65,Ag10.25Au37.13Pd37.13Pt9.84Rh5.65,0.39592248
279,43.09,10.32,11.19,19.51,15.88,Ag43.09Au10.32Pd11.19Pt19.51Rh15.88,0.4179566
280,39.77,11.28,13.22,19.17,16.56,Ag39.77Au11.28Pd13.22Pt19.17Rh16.56,0.41980088
281,38.07,12.49,14.43,19.45,15.56,Ag38.07Au12.49Pd14.43Pt19.45Rh15.56,0.41932338
282,35.43,14.28,16.86,18.75,14.68,Ag35.43Au14.28Pd16.86Pt18.75Rh14.68,0.41798115
283,32.63,15.95,18.24,19.03,14.14,Ag32.63Au15.95Pd18.24Pt19.03Rh14.14,0.41842318
284,30.4,16.68,19.9,19.11,13.9,Ag30.40Au16.68Pd19.90Pt19.11Rh13.90,0.4187887
285,28.77,18.57,21.86,18.53,12.26,Ag28.77Au18.57Pd21.86Pt18.53Rh12.26,0.41592675
286,25.98,20.61,23.07,18.3,12.03,Ag25.98Au20.61Pd23.07Pt18.30Rh12.03,0.41593564
287,23.14,22.19,25.28,17.87,11.53,Ag23.14Au22.19Pd25.28Pt17.87Rh11.53,0.41513145
288,21.61,23.7,26.21,17.62,10.86,Ag21.61Au23.70Pd26.21Pt17.62Rh10.86,0.41404003
289,20.25,24.6,29.03,16.52,9.6,Ag20.25Au24.60Pd29.03Pt16.52Rh9.60,0.4106943
290,18.54,26.72,30.05,15.88,8.81,Ag18.54Au26.72Pd30.05Pt15.88Rh8.81,0.40883663
291,16.3,28.36,31.83,15.23,8.27,Ag16.30Au28.36Pd31.83Pt15.23Rh8.27,0.40732962
292,15.25,29.89,33.32,14.01,7.53,Ag15.25Au29.89Pd33.32Pt14.01Rh7.53,0.40452322
293,13.45,31.17,34.54,12.82,8.02,Ag13.45Au31.17Pd34.54Pt12.82Rh8.02,0.40373597
294,12.05,33.4,35.75,12.4,6.41,Ag12.05Au33.40Pd35.75Pt12.40Rh6.41,0.4007033
295,11.27,34.25,37.35,11.66,5.48,Ag11.27Au34.25Pd37.35Pt11.66Rh5.48,0.39815316
296,40.67,11.24,13.87,20.03,14.19,Ag40.67Au11.24Pd13.87Pt20.03Rh14.19,0.41711318
297,38.37,12.03,15.05,20.47,14.08,Ag38.37Au12.03Pd15.05Pt20.47Rh14.08,0.41836178
298,35.82,13.4,16.51,20.65,13.61,Ag35.82Au13.40Pd16.51Pt20.65Rh13.61,0.41876736
299,33.43,14.51,18.73,20.28,13.06,Ag33.43Au14.51Pd18.73Pt20.28Rh13.06,0.41818172
300,30.28,16.53,20.1,20.48,12.62,Ag30.28Au16.53Pd20.10Pt20.48Rh12.62,0.4186852
301,29.0,17.75,22.15,19.6,11.5,Ag29.00Au17.75Pd22.15Pt19.60Rh11.50,0.41611546
302,26.09,19.21,23.52,19.42,11.76,Ag26.09Au19.21Pd23.52Pt19.42Rh11.76,0.41696063
303,24.51,21.5,25.39,19.27,9.33,Ag24.51Au21.50Pd25.39Pt19.27Rh9.33,0.41332543
304,21.23,22.45,27.76,18.57,9.99,Ag21.23Au22.45Pd27.76Pt18.57Rh9.99,0.41395012
305,20.23,23.61,29.43,18.08,8.65,Ag20.23Au23.61Pd29.43Pt18.08Rh8.65,0.41130847
306,17.46,25.55,32.0,16.44,8.55,Ag17.46Au25.55Pd32.00Pt16.44Rh8.55,0.40921265
307,15.98,27.51,32.99,15.96,7.55,Ag15.98Au27.51Pd32.99Pt15.96Rh7.55,0.40716422
308,14.33,29.12,34.26,14.83,7.47,Ag14.33Au29.12Pd34.26Pt14.83Rh7.47,0.4055969
309,13.18,29.83,36.13,14.54,6.31,Ag13.18Au29.83Pd36.13Pt14.54Rh6.31,0.40337178
310,12.69,31.22,36.93,13.09,6.08,Ag12.69Au31.22Pd36.93Pt13.09Rh6.08,0.40098202
311,37.51,11.79,15.48,21.99,13.23,Ag37.51Au11.79Pd15.48Pt21.99Rh13.23,0.41936386
312,35.5,12.26,17.5,21.95,12.79,Ag35.50Au12.26Pd17.50Pt21.95Rh12.79,0.41930303
313,32.87,14.18,18.79,22.02,12.14,Ag32.87Au14.18Pd18.79Pt22.02Rh12.14,0.4192291
314,30.11,15.93,20.81,21.3,11.85,Ag30.11Au15.93Pd20.81Pt21.30Rh11.85,0.4186111
315,28.62,16.62,22.59,20.87,11.3,Ag28.62Au16.62Pd22.59Pt20.87Rh11.30,0.41755098
316,26.37,17.86,24.82,20.47,10.48,Ag26.37Au17.86Pd24.82Pt20.47Rh10.48,0.41624123
317,24.99,18.86,27.48,19.29,9.38,Ag24.99Au18.86Pd27.48Pt19.29Rh9.38,0.41316915
318,21.71,20.89,28.64,19.13,9.64,Ag21.71Au20.89Pd28.64Pt19.13Rh9.64,0.41398087
319,19.5,22.38,30.63,19.0,8.48,Ag19.50Au22.38Pd30.63Pt19.00Rh8.48,0.41229674
320,18.34,23.51,31.84,18.08,8.23,Ag18.34Au23.51Pd31.84Pt18.08Rh8.23,0.41078556
321,17.1,25.34,33.52,17.0,7.04,Ag17.10Au25.34Pd33.52Pt17.00Rh7.04,0.40755886
322,14.96,26.86,35.1,16.29,6.8,Ag14.96Au26.86Pd35.10Pt16.29Rh6.80,0.40638253
323,13.59,28.49,37.11,15.35,5.47,Ag13.59Au28.49Pd37.11Pt15.35Rh5.47,0.40302408
324,35.41,12.32,17.53,22.75,11.99,Ag35.41Au12.32Pd17.53Pt22.75Rh11.99,0.4191569
325,33.03,13.58,19.54,22.27,11.58,Ag33.03Au13.58Pd19.54Pt22.27Rh11.58,0.4186293
326,30.58,14.54,21.75,22.21,10.92,Ag30.58Au14.54Pd21.75Pt22.21Rh10.92,0.41819164
327,27.91,16.03,23.29,22.08,10.69,Ag27.91Au16.03Pd23.29Pt22.08Rh10.69,0.41833222
328,25.41,17.05,25.64,21.84,10.06,Ag25.41Au17.05Pd25.64Pt21.84Rh10.06,0.4175436
329,23.34,18.28,28.3,20.88,9.2,Ag23.34Au18.28Pd28.30Pt20.88Rh9.20,0.4152653
330,21.65,20.03,29.56,20.11,8.65,Ag21.65Au20.03Pd29.56Pt20.11Rh8.65,0.4136818
331,19.87,21.38,31.27,19.97,7.52,Ag19.87Au21.38Pd31.27Pt19.97Rh7.52,0.4119554
332,17.74,22.29,33.28,19.4,7.28,Ag17.74Au22.29Pd33.28Pt19.40Rh7.28,0.4110154
333,16.39,24.11,34.67,18.22,6.6,Ag16.39Au24.11Pd34.67Pt18.22Rh6.60,0.40849003
334,14.93,25.05,36.63,17.0,6.39,Ag14.93Au25.05Pd36.63Pt17.00Rh6.39,0.40652782
335,31.06,13.56,22.04,23.85,9.49,Ag31.06Au13.56Pd22.04Pt23.85Rh9.49,0.4179445
336,27.7,14.81,24.12,23.31,10.06,Ag27.70Au14.81Pd24.12Pt23.31Rh10.06,0.41893086
337,25.96,15.85,26.3,22.49,9.4,Ag25.96Au15.85Pd26.30Pt22.49Rh9.40,0.41717514
338,23.73,17.71,27.51,22.79,8.27,Ag23.73Au17.71Pd27.51Pt22.79Rh8.27,0.41626278
339,21.35,18.88,30.03,21.98,7.77,Ag21.35Au18.88Pd30.03Pt21.98Rh7.77,0.4147478
340,18.89,19.68,31.98,21.16,8.29,Ag18.89Au19.68Pd31.98Pt21.16Rh8.29,0.4147624
341,17.5,21.08,34.42,19.77,7.23,Ag17.50Au21.08Pd34.42Pt19.77Rh7.23,0.41131327
